id,shannon,evenness,site,treatment,year,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp,cala_cover,cala_cover_rel
CER_4_2014,2.6165352493542704,0.7419931204110436,CER,4,1,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.005,0.004916420845624385
CER_4_2015,2.5943684200321795,0.7184789249701775,CER,4,2,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.02,0.02044989775051125
CER_4_2016,2.7801359353760624,0.743815323263622,CER,4,3,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.01,0.009861932938856016
CVI_0_2014,1.068399870037289,0.42995573702072043,CVI,0,0,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.8,3.076923076923077
CVI_0_2015,1.0041409940909678,0.4187593200928763,CVI,0,1,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.8,2.807017543859649
CVI_0_2016,1.3018941898156438,0.5925175802438822,CVI,0,2,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.6,1.6666666666666667
CVI_0_2017,1.5382494779424016,0.6190371288489398,CVI,0,3,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.6,0.851063829787234
CVI_1_2014,2.036149472375281,0.6915237458755921,CVI,1,0,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.4,0.5689900426742532
CVI_1_2015,1.9481390552703535,0.6302530892624152,CVI,1,1,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.5,0.8726003490401395
CVI_1_2016,2.6126200203892647,0.7840515227716008,CVI,1,2,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.3,0.28790786948176583
CVI_1_2017,2.917142850878524,0.841709504905428,CVI,1,3,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.2,0.1707941929974381
CVI_2_2014,1.9032011758933225,0.635304160086194,CVI,2,0,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.5,0.9578544061302682
CVI_2_2015,2.175604609440297,0.6758895738170885,CVI,2,1,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.35,0.43586550435865506
CVI_2_2016,2.68135829137928,0.7962942452223007,CVI,2,2,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.4,0.4012036108324975
CVI_2_2017,3.1512855859491946,0.8793829864080097,CVI,2,3,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.2,0.14367816091954022
CVI_3_2014,1.5194472349556574,0.5610853278632809,CVI,3,0,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.7,1.5521064301552105
CVI_3_2015,2.1557263656198176,0.7458301375006935,CVI,3,1,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.5,0.6090133982947624
CVI_3_2016,2.6349640839509534,0.8087434037639248,CVI,3,2,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.2,0.26490066225165565
CVI_3_2017,2.9767410399849736,0.8589059072793954,CVI,3,3,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.07,0.05259203606311045
CVI_4_2014,1.512991951337015,0.513847276864042,CVI,4,0,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.7,1.8918918918918919
CVI_4_2015,1.8776658444132301,0.6627336583573474,CVI,4,1,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.5,0.9242144177449167
CVI_4_2016,2.70583288195218,0.8120248543238153,CVI,4,2,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.3,0.2640845070422535
CVI_4_2017,2.8977878882605057,0.8438551793308058,CVI,4,3,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,8,0.07,0.043586550435865505
DUB_1_2014,2.6660620866859364,0.6815047056182004,DUB,1,0,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.3,0.48
DUB_1_2015,2.5642534899224727,0.6776228830972642,DUB,1,1,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.35,0.39727582292849034
DUB_1_2016,2.391075801627831,0.6397236903795689,DUB,1,2,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.5,0.6119951040391677
DUB_1_2017,2.562776433848713,0.6813719969739337,DUB,1,3,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.35,0.3829321663019693
DUB_2_2014,2.3308711884704594,0.6236161636835571,DUB,2,0,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.3,0.2952755905511811
DUB_2_2015,2.4738383279105647,0.6323680419256171,DUB,2,1,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.25,0.29976019184652275
DUB_2_2016,2.58631173663162,0.6794171386567209,DUB,2,2,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.25,0.2502502502502503
DUB_2_2017,2.3121806280735466,0.6503387539235534,DUB,2,3,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.005,0.004480286738351254
DUB_3_2014,2.910413069296992,0.7737990481158735,DUB,3,0,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.15,0.20107238605898123
DUB_3_2015,2.9732937689886314,0.7765923890691809,DUB,3,1,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.15,0.141643059490085
DUB_3_2016,2.7281400750199167,0.74998637976595,DUB,3,2,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.15,0.17142857142857143
DUB_3_2017,3.0287155042501035,0.8003603934388676,DUB,3,3,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.01,0.01002004008016032
DUB_4_2014,2.762988343916277,0.7440244310024532,DUB,4,0,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.2,0.21231422505307856
DUB_4_2015,2.6556351233473525,0.6788393421159624,DUB,4,1,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.15,0.15136226034308778
DUB_4_2016,2.4913503132527706,0.6800350461919337,DUB,4,2,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.05,0.05241090146750524
DUB_4_2017,3.157159570120898,0.8155504096080165,DUB,4,3,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,8.6,0.005,0.005773672055427252
DUC_0_2014,1.9399725267498518,0.6847251834457544,DUC,0,0,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,7.5,0.15,0.3386004514672686
