Releve number,Background_plots,site,treatment,value,year,redlisted,PC1,PC2,PC3
234,113258,HIG,1,0.8993996702240201,3,8,-1.56563478200371,0.380280344311849,-1.61937541603383
221,310659,HIG,2,0.9635412247714614,0,8,-1.56563478200371,0.380280344311849,-1.61937541603383
226,452439,HIG,2,0.9456988557834796,1,6,-1.56563478200371,0.380280344311849,-1.61937541603383
231,113261,HIG,2,0.9271752607051522,2,12,-1.56563478200371,0.380280344311849,-1.61937541603383
235,113261,HIG,2,0.9176596500325749,3,12,-1.56563478200371,0.380280344311849,-1.61937541603383
222,310659,HIG,3,0.9313548561880951,0,8,-1.56563478200371,0.380280344311849,-1.61937541603383
227,310659,HIG,3,0.9131921096613164,1,8,-1.56563478200371,0.380280344311849,-1.61937541603383
232,310659,HIG,3,0.9140410225607858,2,8,-1.56563478200371,0.380280344311849,-1.61937541603383
236,452439,HIG,3,0.9090669433209161,3,6,-1.56563478200371,0.380280344311849,-1.61937541603383
223,310659,HIG,4,0.9013045131338637,0,8,-1.56563478200371,0.380280344311849,-1.61937541603383
228,310659,HIG,4,0.8883921313766728,1,8,-1.56563478200371,0.380280344311849,-1.61937541603383
233,310659,HIG,4,0.8792128346468715,2,8,-1.56563478200371,0.380280344311849,-1.61937541603383
237,113258,HIG,4,0.8487918793852899,3,8,-1.56563478200371,0.380280344311849,-1.61937541603383
363,452414,ILI,0,0.7241709835401093,0,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
370,282290,ILI,0,0.7234544304275025,1,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
377,282290,ILI,0,0.7808322151445843,2,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
384,282290,ILI,0,0.7299899350089696,3,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
364,452414,ILI,1,0.7221998074273691,0,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
371,282288,ILI,1,0.7278726545816906,1,2,-0.37292593065102,-1.02453635884729,-1.03830953891901
378,282288,ILI,1,0.7723073392276234,2,2,-0.37292593065102,-1.02453635884729,-1.03830953891901
385,282288,ILI,1,0.6682409963950667,3,2,-0.37292593065102,-1.02453635884729,-1.03830953891901
365,115650,ILI,2,0.762009695325648,0,0,-0.37292593065102,-1.02453635884729,-1.03830953891901
372,115613,ILI,2,0.7572830329267072,1,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
379,282367,ILI,2,0.7155210453003874,2,7,-0.37292593065102,-1.02453635884729,-1.03830953891901
386,282367,ILI,2,0.7199102070962204,3,7,-0.37292593065102,-1.02453635884729,-1.03830953891901
366,115652,ILI,3,0.8222162489196079,0,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
373,115613,ILI,3,0.7417232273227878,1,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
380,115613,ILI,3,0.6716933095441701,2,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
387,115613,ILI,3,0.6530600386727208,3,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
367,571531,ILI,4,0.823968599365615,0,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
374,115613,ILI,4,0.762756800373066,1,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
381,452434,ILI,4,0.7242820031122461,2,6,-0.37292593065102,-1.02453635884729,-1.03830953891901
388,347543,ILI,4,0.6989784593798154,3,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
368,347545,ILI,3,0.8277581435536369,0,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
375,119468,ILI,3,0.7912718378448894,1,5,-0.37292593065102,-1.02453635884729,-1.03830953891901
382,282367,ILI,3,0.7364592236692928,2,7,-0.37292593065102,-1.02453635884729,-1.03830953891901
389,115613,ILI,3,0.742660267223371,3,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
369,282290,ILI,4,0.8244632741424365,0,3,-0.37292593065102,-1.02453635884729,-1.03830953891901
376,115613,ILI,4,0.7133063384951588,1,1,-0.37292593065102,-1.02453635884729,-1.03830953891901
383,282367,ILI,4,0.6912240512290531,2,7,-0.37292593065102,-1.02453635884729,-1.03830953891901
390,282367,ILI,4,0.6668560844954106,3,7,-0.37292593065102,-1.02453635884729,-1.03830953891901
161,282312,JAZ,0,0.6754754732418663,0,10,0.0799126296752948,-0.290154272496496,0.737498048842961
154,282312,JAZ,0,0.6951258666950423,1,10,0.0799126296752948,-0.290154272496496,0.737498048842961
166,282312,JAZ,0,0.6909811799793522,2,10,0.0799126296752948,-0.290154272496496,0.737498048842961
168,282312,JAZ,0,0.6884430818027777,3,10,0.0799126296752948,-0.290154272496496,0.737498048842961
162,282312,JAZ,1,0.7153389344659985,0,10,0.0799126296752948,-0.290154272496496,0.737498048842961
155,282312,JAZ,1,0.7126498046213074,1,10,0.0799126296752948,-0.290154272496496,0.737498048842961
167,282312,JAZ,1,0.7020065044747991,2,10,0.0799126296752948,-0.290154272496496,0.737498048842961
169,282312,JAZ,1,0.6767854518648047,3,10,0.0799126296752948,-0.290154272496496,0.737498048842961
178,282312,JAZ,2,0.7752595681260834,0,10,0.0799126296752948,-0.290154272496496,0.737498048842961
183,282312,JAZ,2,0.7291727799039482,1,10,0.0799126296752948,-0.290154272496496,0.737498048842961
182,282312,JAZ,2,0.6956732100755394,2,10,0.0799126296752948,-0.290154272496496,0.737498048842961
170,282312,JAZ,2,0.6859473662747367,3,10,0.0799126296752948,-0.290154272496496,0.737498048842961
163,282312,JAZ,3,0.7209196704750973,0,10,0.0799126296752948,-0.290154272496496,0.737498048842961
156,282312,JAZ,3,0.78999224939348,1,10,0.0799126296752948,-0.290154272496496,0.737498048842961
125,282312,JAZ,3,0.7201758661029785,2,10,0.0799126296752948,-0.290154272496496,0.737498048842961
131,282306,JAZ,3,0.6876050502634039,3,7,0.0799126296752948,-0.290154272496496,0.737498048842961
176,404003,JAZ,4,0.7400383335390108,0,9,0.0799126296752948,-0.290154272496496,0.737498048842961
118,209593,JAZ,4,0.7506276753646007,1,5,0.0799126296752948,-0.290154272496496,0.737498048842961
126,282312,JAZ,4,0.6736344267466294,2,10,0.0799126296752948,-0.290154272496496,0.737498048842961
132,350024,JAZ,4,0.696096644114702,3,3,0.0799126296752948,-0.290154272496496,0.737498048842961
335,282420,KYS,0,0.7330210207108739,0,0,1.62452969258617,0.64031228338169,-0.564609795420682
342,282351,KYS,0,0.756290025916166,1,2,1.62452969258617,0.64031228338169,-0.564609795420682
349,282287,KYS,0,0.6857797607797417,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
356,282286,KYS,0,0.7133185572324164,3,2,1.62452969258617,0.64031228338169,-0.564609795420682
336,282121,KYS,1,0.7448618285020432,0,1,1.62452969258617,0.64031228338169,-0.564609795420682
343,404006,KYS,1,0.678872234776901,1,3,1.62452969258617,0.64031228338169,-0.564609795420682
350,404006,KYS,1,0.7172465939481856,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
357,404006,KYS,1,0.6562949672191045,3,3,1.62452969258617,0.64031228338169,-0.564609795420682
337,282285,KYS,2,0.6866396161303318,0,1,1.62452969258617,0.64031228338169,-0.564609795420682
344,282280,KYS,2,0.6770877466864458,1,8,1.62452969258617,0.64031228338169,-0.564609795420682
351,282285,KYS,2,0.649522745422873,2,1,1.62452969258617,0.64031228338169,-0.564609795420682
358,350054,KYS,2,0.6593400209647715,3,1,1.62452969258617,0.64031228338169,-0.564609795420682
338,282287,KYS,3,0.7492641665024424,0,3,1.62452969258617,0.64031228338169,-0.564609795420682
345,282287,KYS,3,0.6681935818953191,1,3,1.62452969258617,0.64031228338169,-0.564609795420682
352,282287,KYS,3,0.6585360865566724,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
359,282274,KYS,3,0.6596059148161001,3,2,1.62452969258617,0.64031228338169,-0.564609795420682
339,282121,KYS,4,0.7271994672689676,0,1,1.62452969258617,0.64031228338169,-0.564609795420682
346,282287,KYS,4,0.6652903145548895,1,3,1.62452969258617,0.64031228338169,-0.564609795420682
353,404006,KYS,4,0.6190259983543435,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
360,404006,KYS,4,0.5805622087031201,3,3,1.62452969258617,0.64031228338169,-0.564609795420682
340,282287,KYS,3,0.8073888852032705,0,3,1.62452969258617,0.64031228338169,-0.564609795420682
347,282121,KYS,3,0.7435754001953658,1,1,1.62452969258617,0.64031228338169,-0.564609795420682
354,282287,KYS,3,0.7265296988557377,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
361,282121,KYS,3,0.6931779632788225,3,1,1.62452969258617,0.64031228338169,-0.564609795420682
341,282280,KYS,4,0.7821611450260655,0,8,1.62452969258617,0.64031228338169,-0.564609795420682
348,350100,KYS,4,0.6975867063500156,1,1,1.62452969258617,0.64031228338169,-0.564609795420682
355,404006,KYS,4,0.625932078280347,2,3,1.62452969258617,0.64031228338169,-0.564609795420682
362,404006,KYS,4,0.6176268814202329,3,3,1.62452969258617,0.64031228338169,-0.564609795420682
157,282365,LET,1,0.6372498024729544,0,13,0.0400773837874314,1.21641847888886,0.470009825626944
153,282365,LET,1,0.6807200585059926,1,13,0.0400773837874314,1.21641847888886,0.470009825626944
164,282365,LET,1,0.6763803370041072,2,13,0.0400773837874314,1.21641847888886,0.470009825626944
171,282365,LET,1,0.6363174389080114,3,13,0.0400773837874314,1.21641847888886,0.470009825626944
158,282365,LET,2,0.6354231380077594,0,13,0.0400773837874314,1.21641847888886,0.470009825626944
180,282365,LET,2,0.7320082037535456,1,13,0.0400773837874314,1.21641847888886,0.470009825626944
165,282365,LET,2,0.60763367813128355,2,13,0.0400773837874314,1.21641847888886,0.470009825626944
172,282365,LET,2,0.6461899232185517,3,13,0.0400773837874314,1.21641847888886,0.470009825626944
159,282365,LET,3,0.6211864034647278,0,13,0.0400773837874314,1.21641847888886,0.470009825626944
116,282365,LET,3,0.7343575421106332,1,13,0.0400773837874314,1.21641847888886,0.470009825626944
123,282365,LET,3,0.6583003931193304,2,13,0.0400773837874314,1.21641847888886,0.470009825626944
