site,treatment,year,n,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp
ILI,0,1,19,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,0,2,13,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,0,3,15,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,2,0,11,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,2,1,16,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,2,2,22,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,2,3,24,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,3,0,21,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,3,1,35,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,3,2,40,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,3,3,40,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,4,0,26,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,4,1,44,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,4,2,53,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,4,3,43,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
